Epoch : 0 | ACC : 0.58692
Epoch : 1 | ACC : 0.76092
Epoch : 2 | ACC : 0.80254
Epoch : 3 | ACC : 0.8201
Epoch : 4 | ACC : 0.76784
Epoch : 5 | ACC : 0.76878
Epoch : 6 | ACC : 0.76634
Epoch : 7 | ACC : 0.8345
Epoch : 8 | ACC : 0.84638
Epoch : 9 | ACC : 0.87056
Epoch : 10 | ACC : 0.86636
Epoch : 11 | ACC : 0.84612
Epoch : 12 | ACC : 0.86346
Epoch : 13 | ACC : 0.87216
Epoch : 14 | ACC : 0.85912
Epoch : 15 | ACC : 0.86622
Epoch : 16 | ACC : 0.84848
Epoch : 17 | ACC : 0.88644
Epoch : 18 | ACC : 0.87808
Epoch : 19 | ACC : 0.85942
Epoch : 20 | ACC : 0.88374
Epoch : 21 | ACC : 0.89088
Epoch : 22 | ACC : 0.9021
Epoch : 23 | ACC : 0.90196
Epoch : 24 | ACC : 0.9089
Epoch : 25 | ACC : 0.9218
Epoch : 26 | ACC : 0.93
Epoch : 27 | ACC : 0.9316
Epoch : 28 | ACC : 0.94322
Epoch : 29 | ACC : 0.93554
Epoch : 30 | ACC : 0.94686
Epoch : 31 | ACC : 0.94536
Epoch : 32 | ACC : 0.95556
Epoch : 33 | ACC : 0.95054
Epoch : 34 | ACC : 0.95796
Epoch : 35 | ACC : 0.95526
Epoch : 36 | ACC : 0.96182
Epoch : 37 | ACC : 0.95748
Epoch : 38 | ACC : 0.96616
Epoch : 39 | ACC : 0.96068
Epoch : 40 | ACC : 0.96674
Epoch : 41 | ACC : 0.96706
Epoch : 42 | ACC : 0.97098
Epoch : 43 | ACC : 0.96884
Epoch : 44 | ACC : 0.97274
Epoch : 45 | ACC : 0.9717
Epoch : 46 | ACC : 0.97406
Epoch : 47 | ACC : 0.97318
Epoch : 48 | ACC : 0.97346
Epoch : 49 | ACC : 0.97384
Epoch : 50 | ACC : 0.97586
Epoch : 51 | ACC : 0.97496
Epoch : 52 | ACC : 0.9752
Epoch : 53 | ACC : 0.97594
Epoch : 54 | ACC : 0.97592
Epoch : 55 | ACC : 0.97552
Epoch : 56 | ACC : 0.97618
Epoch : 57 | ACC : 0.976
Epoch : 58 | ACC : 0.97654
Epoch : 59 | ACC : 0.97616
Epoch : 60 | ACC : 0.97606
Epoch : 61 | ACC : 0.97564
Epoch : 62 | ACC : 0.97568
Epoch : 63 | ACC : 0.97562
Epoch : 64 | ACC : 0.97592
Epoch : 65 | ACC : 0.97588
Epoch : 66 | ACC : 0.97606
Epoch : 67 | ACC : 0.97572
Epoch : 68 | ACC : 0.97586
Epoch : 69 | ACC : 0.97554
Epoch : 70 | ACC : 0.97556
Epoch : 71 | ACC : 0.9757
Epoch : 72 | ACC : 0.97544
Epoch : 73 | ACC : 0.97622
Epoch : 74 | ACC : 0.97556
Epoch : 75 | ACC : 0.97544
Epoch : 76 | ACC : 0.97546
Epoch : 77 | ACC : 0.97528
Epoch : 78 | ACC : 0.97524
Epoch : 79 | ACC : 0.97538
Epoch : 80 | ACC : 0.97562
Epoch : 81 | ACC : 0.97562
Epoch : 82 | ACC : 0.97538
Epoch : 83 | ACC : 0.97536
