Epoch : 0 | ACC : 0.57248
Epoch : 0 | ACC : 0.5949
Epoch : 1 | ACC : 0.7528
Epoch : 2 | ACC : 0.79042
Epoch : 3 | ACC : 0.79128
Epoch : 4 | ACC : 0.81754
Epoch : 5 | ACC : 0.8296
Epoch : 6 | ACC : 0.82788
Epoch : 7 | ACC : 0.83374
Epoch : 8 | ACC : 0.83756
Epoch : 9 | ACC : 0.77954
Epoch : 10 | ACC : 0.71906
Epoch : 11 | ACC : 0.80482
Epoch : 0 | ACC : 0.59984
Epoch : 1 | ACC : 0.7391
Epoch : 2 | ACC : 0.78176
Epoch : 3 | ACC : 0.75692
Epoch : 4 | ACC : 0.78752
Epoch : 5 | ACC : 0.8418
Epoch : 6 | ACC : 0.82902
Epoch : 7 | ACC : 0.80498
Epoch : 8 | ACC : 0.79172
Epoch : 9 | ACC : 0.82188
Epoch : 10 | ACC : 0.83752
Epoch : 11 | ACC : 0.76626
Epoch : 12 | ACC : 0.82194
Epoch : -1 | ACC : 0.8418
Epoch : 0 | ACC : 0.55666
Epoch : 1 | ACC : 0.62376
Epoch : 2 | ACC : 0.6862
Epoch : 3 | ACC : 0.75672
Epoch : 4 | ACC : 0.7543
Epoch : 5 | ACC : 0.72904
Epoch : 6 | ACC : 0.72922
Epoch : 7 | ACC : 0.76948
Epoch : 8 | ACC : 0.78576
Epoch : 9 | ACC : 0.77098
Epoch : 10 | ACC : 0.7662
Epoch : 11 | ACC : 0.76246
Epoch : 12 | ACC : 0.76154
Epoch : 13 | ACC : 0.76866
Epoch : 14 | ACC : 0.75756
Epoch : 15 | ACC : 0.7643
Epoch : 16 | ACC : 0.73584
Epoch : 17 | ACC : 0.76378
Epoch : 18 | ACC : 0.7869
Epoch : 19 | ACC : 0.78062
Epoch : 20 | ACC : 0.79006
Epoch : 21 | ACC : 0.74356
Epoch : 22 | ACC : 0.79424
Epoch : 23 | ACC : 0.79944
Epoch : 24 | ACC : 0.75148
Epoch : 25 | ACC : 0.77656
Epoch : 26 | ACC : 0.7756
Epoch : 27 | ACC : 0.70716
Epoch : 28 | ACC : 0.7732
Epoch : 29 | ACC : 0.77026
Epoch : 30 | ACC : 0.77924
Epoch : 31 | ACC : 0.77738
Epoch : 32 | ACC : 0.76456
Epoch : 33 | ACC : 0.79158
Epoch : 34 | ACC : 0.80566
Epoch : 35 | ACC : 0.79302
Epoch : 36 | ACC : 0.77494
Epoch : 37 | ACC : 0.78302
Epoch : 38 | ACC : 0.7654
Epoch : 39 | ACC : 0.80048
Epoch : 40 | ACC : 0.77692
