Epoch : 0 | ACC : 0.57436
Epoch : 1 | ACC : 0.73118
Epoch : 2 | ACC : 0.79926
Epoch : 3 | ACC : 0.83122
Epoch : 4 | ACC : 0.84084
Epoch : 5 | ACC : 0.88314
Epoch : 6 | ACC : 0.87464
Epoch : 7 | ACC : 0.8716
Epoch : 8 | ACC : 0.86446
Epoch : 9 | ACC : 0.8858
Epoch : 10 | ACC : 0.89312
Epoch : 11 | ACC : 0.853
Epoch : 12 | ACC : 0.88798
Epoch : 13 | ACC : 0.83292
Epoch : 14 | ACC : 0.88094
Epoch : 15 | ACC : 0.88694
Epoch : 16 | ACC : 0.90462
Epoch : 17 | ACC : 0.8804
Epoch : 18 | ACC : 0.89366
Epoch : 19 | ACC : 0.90048
Epoch : 20 | ACC : 0.90734
