Epoch : 0 | ACC : 0.0009246745856746568
Epoch : 1 | ACC : 0.005974820399743936
Epoch : 2 | ACC : 0.0067572373568532615
Epoch : 3 | ACC : 0.02020058325627712
Epoch : 4 | ACC : 0.041468098726794224
Epoch : 5 | ACC : 0.10797354008108685
Epoch : 6 | ACC : 0.15612774735045168
Epoch : 7 | ACC : 0.2270431751902696
Epoch : 8 | ACC : 0.27484173838822107
Epoch : 9 | ACC : 0.30130165730137276
Epoch : 10 | ACC : 0.3135358133579913
Epoch : 11 | ACC : 0.29909666405861013
Epoch : 12 | ACC : 0.3307489864143965
Epoch : 13 | ACC : 0.3160253218578846
Epoch : 14 | ACC : 0.3297531830144391
Epoch : 15 | ACC : 0.3342342983142471
Epoch : 16 | ACC : 0.3749911088982147
Epoch : 17 | ACC : 0.37975673945515326
Epoch : 18 | ACC : 0.38786542428337717
Epoch : 19 | ACC : 0.3892880005690305
Epoch : 20 | ACC : 0.3851625293406359
Epoch : 21 | ACC : 0.38438011238352654
Epoch : 22 | ACC : 0.4280532043530834
Epoch : 23 | ACC : 0.5025250729070346
Epoch : 24 | ACC : 0.5243616188918131
Epoch : 25 | ACC : 0.5227256561633118
Epoch : 26 | ACC : 0.5198805035920051
Epoch : 27 | ACC : 0.5227256561633118
Epoch : 28 | ACC : 0.5254996799203357
Epoch : 29 | ACC : 0.5360267444341703
Epoch : 30 | ACC : 0.5198805035920051
Epoch : 31 | ACC : 0.5177466391635251
Epoch : 32 | ACC : 0.5549470090333594
Epoch : 33 | ACC : 0.5524575005334661
Epoch : 34 | ACC : 0.5568674870189914
Epoch : 35 | ACC : 0.5476207411622448
Epoch : 36 | ACC : 0.5712355075040899
Epoch : 37 | ACC : 0.5732271143040045
Epoch : 38 | ACC : 0.5968418806458496
Epoch : 39 | ACC : 0.5922185077174763
Epoch : 40 | ACC : 0.6023899281598976
Epoch : 41 | ACC : 0.6043815349598122
Epoch : 42 | ACC : 0.6014652535742229
Epoch : 43 | ACC : 0.5979799416743723
Epoch : 44 | ACC : 0.6124190909737535
Epoch : 45 | ACC : 0.6138416672594068
Epoch : 46 | ACC : 0.6137705384451241
Epoch : 47 | ACC : 0.6049505654740736
Epoch : 48 | ACC : 0.6157621452450388
Epoch : 49 | ACC : 0.6193897147734547
Epoch : 50 | ACC : 0.6226616402304573
Epoch : 51 | ACC : 0.6218080944590654
Epoch : 52 | ACC : 0.6317080944590653
Epoch : 53 | ACC : 0.6236574436304146
Epoch : 54 | ACC : 0.6322640301586172
Epoch : 55 | ACC : 0.6270716267159826
Epoch : 56 | ACC : 0.6323351589728999
Epoch : 57 | ACC : 0.6287787182587666
Epoch : 58 | ACC : 0.62806743011594
Epoch : 59 | ACC : 0.6233017995590013
Epoch : 60 | ACC : 0.6292766199587453
Epoch : 61 | ACC : 0.6247955046589373
Epoch : 62 | ACC : 0.6281385589302226
Epoch : 63 | ACC : 0.6315527420157906
Epoch : 64 | ACC : 0.6326908030443132
Epoch : 65 | ACC : 0.6310548403158119
Epoch : 66 | ACC : 0.6328330606728786
Epoch : 67 | ACC : 0.6332598335585746
Epoch : 68 | ACC : 0.6335443488157052
Epoch : 69 | ACC : 0.6316238708300732
Epoch : 70 | ACC : 0.6300590369158546
Epoch : 69 | ACC : 0.6287075894444839
Epoch : 69 | ACC : 0.6311970979443773
Epoch : 70 | ACC : 0.6306991962443986
